Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
39628619,07/02/2018 12:00:00 AM,07/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10458,476 E 187TH ST,E 187TH ST,,,,,LATLONG,BRONX,,N/A,Closed,08/01/2018 10:25:41 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/05/2018 12:00:00 AM,Unspecified BRONX,,BRONX,1014273,251739,MOBILE,Unspecified,BRONX,,,,,,,,40.85758917662518,-73.89146691008531,"(40.85758917662518, -73.89146691008531)"
39628018,07/02/2018 12:00:00 AM,07/10/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Puddle on Driveway,1-2 Family Dwelling,10301,74 EMERSON AVENUE,EMERSON AVENUE,OCEAN TERRACE,CARLTON PLACE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,08/01/2018 12:51:38 PM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/09/2018 12:00:00 AM,02 STATEN ISLAND,5008380166,STATEN ISLAND,956618,159946,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.60564807437766,-74.09951266824811,"(40.60564807437766, -74.09951266824811)"
39626978,07/02/2018 12:00:00 AM,07/03/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Cat,1-2 Family Dwelling,11422,262-22 149 ROAD,149 ROAD,HOOK CREEK BOULEVARD,262 PLACE,,,ADDRESS,Rosedale,,N/A,Closed,08/01/2018 08:27:07 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/03/2018 12:00:00 AM,13 QUEENS,4137040030,QUEENS,1060227,177052,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.652317588637814,-73.72618798590966,"(40.652317588637814, -73.72618798590966)"
39626368,07/02/2018 12:00:00 AM,07/10/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Sewer or Drain,3+ Family Apartment Building,11218,,,,,STRATFORD ROAD,DORCHESTER ROAD,INTERSECTION,BROOKLYN,,N/A,Closed,08/01/2018 08:58:25 AM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/10/2018 12:00:00 AM,14 BROOKLYN,,BROOKLYN,993261,171578,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63761398390846,-73.96753264222235,"(40.63761398390846, -73.96753264222235)"
39626296,07/02/2018 12:00:00 AM,07/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10003,245 PARK AVE S,PARK AVE S,,,,,LATLONG,NEW YORK,,N/A,Closed,08/01/2018 11:45:17 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/06/2018 12:00:00 AM,Unspecified MANHATTAN,,MANHATTAN,987700,208142,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.737977672702534,-73.98755064865188,"(40.737977672702534, -73.98755064865188)"
39626214,07/02/2018 12:00:00 AM,07/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10001,401 7 AVENUE,7 AVENUE,WEST 32 STREET,WEST 33 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,08/01/2018 10:32:37 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/06/2018 12:00:00 AM,05 MANHATTAN,1008087501,MANHATTAN,986609,212447,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74979417997734,-73.99148602057147,"(40.74979417997734, -73.99148602057147)"
39626120,07/02/2018 12:00:00 AM,07/10/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Container - Under 5 Gallons,1-2 Family Dwelling,11692,72-52 ALMEDA AVENUE,ALMEDA AVENUE,BEACH 72 STREET,BARBADOES DRIVE,,,ADDRESS,Arverne,,N/A,Closed,08/01/2018 12:55:34 PM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/10/2018 12:00:00 AM,14 QUEENS,4160580035,QUEENS,1038964,156700,PHONE,Unspecified,QUEENS,,,,,,,,40.596612657234516,-73.80298194919102,"(40.596612657234516, -73.80298194919102)"
39625637,07/02/2018 12:00:00 AM,07/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10458,476 E 187TH ST,E 187TH ST,,,,,LATLONG,BRONX,,N/A,Closed,08/01/2018 10:25:07 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/05/2018 12:00:00 AM,Unspecified BRONX,,BRONX,1014273,251739,MOBILE,Unspecified,BRONX,,,,,,,,40.85758917662518,-73.89146691008531,"(40.85758917662518, -73.89146691008531)"
39625546,07/02/2018 12:00:00 AM,07/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10458,372 EAST  199 STREET,EAST  199 STREET,MARION AVENUE,DECATUR AVENUE,,,ADDRESS,BRONX,,N/A,Closed,08/01/2018 03:55:00 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/05/2018 12:00:00 AM,07 BRONX,2032840032,BRONX,1016004,255425,ONLINE,Unspecified,BRONX,,,,,,,,40.86770006855666,-73.8851918911654,"(40.86770006855666, -73.8851918911654)"
39625037,07/02/2018 12:00:00 AM,07/10/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Other - Explain Below,Other,10309,210 SEGUINE AVENUE,SEGUINE AVENUE,JOHANNA LANE,DIRENZO COURT,,,ADDRESS,STATEN ISLAND,,N/A,Closed,08/01/2018 02:18:07 PM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/10/2018 12:00:00 AM,03 STATEN ISLAND,5067120353,STATEN ISLAND,929171,129236,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.52122719566851,-74.19810870655174,"(40.52122719566851, -74.19810870655174)"
39625001,07/02/2018 12:00:00 AM,07/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10453,1731 HARRISON AVENUE,HARRISON AVENUE,WEST 176 STREET,WEST TREMONT AVENUE,,,ADDRESS,BRONX,,N/A,Closed,08/01/2018 10:34:42 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/06/2018 12:00:00 AM,05 BRONX,2028660110,BRONX,1007859,248685,PHONE,Unspecified,BRONX,,,,,,,,40.849226341299804,-73.91466424683102,"(40.849226341299804, -73.91466424683102)"
39624909,07/02/2018 12:00:00 AM,07/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10010,330 EAST 24 STREET,EAST 24 STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,08/01/2018 05:49:08 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/06/2018 12:00:00 AM,Unspecified MANHATTAN,,MANHATTAN,990062,208098,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.73785566681388,-73.97902739188639,"(40.73785566681388, -73.97902739188639)"
39624853,07/02/2018 12:00:00 AM,07/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,10468,3013 GRAND CONCOURSE,GRAND CONCOURSE,EAST 201 STREET,EAST 202 STREET,,,ADDRESS,BRONX,,N/A,Closed,08/01/2018 12:00:55 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/05/2018 12:00:00 AM,07 BRONX,2033100070,BRONX,1015455,257432,PHONE,Unspecified,BRONX,,,,,,,,40.873210623061546,-73.88716747791408,"(40.873210623061546, -73.88716747791408)"
39623810,07/02/2018 12:00:00 AM,07/10/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Swimming Pool Cover,1-2 Family Dwelling,10312,42 PROL PLACE,PROL PLACE,BEND,TENNYSON DRIVE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,08/01/2018 07:57:42 PM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/10/2018 12:00:00 AM,03 STATEN ISLAND,5054110082,STATEN ISLAND,941657,133510,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.53302723918958,-74.15322593013356,"(40.53302723918958, -74.15322593013356)"
39623593,07/02/2018 12:00:00 AM,07/10/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Container - Under 5 Gallons,1-2 Family Dwelling,11236,1407 EAST  101 STREET,EAST  101 STREET,AVENUE N,SEAVIEW AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,08/01/2018 08:42:57 PM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/09/2018 12:00:00 AM,18 BROOKLYN,3083040037,BROOKLYN,1015280,171438,PHONE,Unspecified,BROOKLYN,,,,,,,,40.637179944434436,-73.88819711358865,"(40.637179944434436, -73.88819711358865)"
39623048,07/02/2018 12:00:00 AM,07/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Vacant Building,10469,1346 WARING AVENUE,WARING AVENUE,,,,,LATLONG,BRONX,,N/A,Closed,08/01/2018 10:23:13 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/06/2018 12:00:00 AM,Unspecified BRONX,,BRONX,1026425,252916,MOBILE,Unspecified,BRONX,,,,,,,,40.8607699948668,-73.84753012242251,"(40.8607699948668, -73.84753012242251)"
39622475,07/02/2018 12:00:00 AM,07/03/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11385,1730 GEORGE STREET,GEORGE STREET,CYPRESS AVENUE,SENECA AVENUE,,,ADDRESS,Ridgewood,,N/A,Closed,08/01/2018 08:15:53 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/03/2018 12:00:00 AM,05 QUEENS,4035640021,QUEENS,1011361,193748,ONLINE,Unspecified,QUEENS,,,,,,,,40.698428745713535,-73.90222776355542,"(40.698428745713535, -73.90222776355542)"
39622462,07/02/2018 12:00:00 AM,07/03/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11385,1730 GEORGE STREET,GEORGE STREET,CYPRESS AVENUE,SENECA AVENUE,,,ADDRESS,Ridgewood,,N/A,Closed,08/01/2018 07:57:55 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/03/2018 12:00:00 AM,05 QUEENS,4035640021,QUEENS,1011361,193748,PHONE,Unspecified,QUEENS,,,,,,,,40.698428745713535,-73.90222776355542,"(40.698428745713535, -73.90222776355542)"
39621260,07/02/2018 12:00:00 AM,07/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10458,2760 BAINBRIDGE AVENUE,BAINBRIDGE AVENUE,EAST 196 STREET,EAST 197 STREET,,,ADDRESS,BRONX,,N/A,Closed,08/01/2018 04:16:40 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/05/2018 12:00:00 AM,07 BRONX,2032880021,BRONX,1014693,255178,PHONE,Unspecified,BRONX,,,,,,,,40.86702674795337,-73.88993299151524,"(40.86702674795337, -73.88993299151524)"
39621237,07/02/2018 12:00:00 AM,07/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10458,2980 BRIGGS AVENUE,BRIGGS AVENUE,BEDFORD PARK BOULEVARD,EAST 201 STREET,,,ADDRESS,BRONX,,N/A,Closed,08/01/2018 05:52:14 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/05/2018 12:00:00 AM,07 BRONX,2032980021,BRONX,1015999,256802,PHONE,Unspecified,BRONX,,,,,,,,40.87147952778048,-73.88520344439844,"(40.87147952778048, -73.88520344439844)"
39621054,07/02/2018 12:00:00 AM,07/10/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Swimming Pool Cover,1-2 Family Dwelling,11218,587 18 STREET,18 STREET,10 AVENUE,11 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,08/01/2018 02:47:45 PM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/10/2018 12:00:00 AM,07 BROOKLYN,3008780064,BROOKLYN,989843,178237,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.655894317086315,-73.97984244941313,"(40.655894317086315, -73.97984244941313)"
39621046,07/02/2018 12:00:00 AM,07/10/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Other - Explain Below,Other,11691,125 BEACH   19 STREET,BEACH   19 STREET,BEND,SEAGIRT BOULEVARD,,,ADDRESS,Far Rockaway,,N/A,Closed,08/01/2018 05:21:51 PM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/09/2018 12:00:00 AM,14 QUEENS,4158100055,QUEENS,1052791,155657,PHONE,Unspecified,QUEENS,,,,,,,,40.59365369795934,-73.75320352537565,"(40.59365369795934, -73.75320352537565)"
39626352,07/02/2018 12:00:00 AM,07/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Puddle in Ground,Other,11433,,,,,ROSCOE STREET,107 AVENUE,INTERSECTION,Jamaica,,N/A,Closed,08/01/2018 07:50:21 AM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/09/2018 12:00:00 AM,12 QUEENS,,QUEENS,1045485,195065,PHONE,Unspecified,QUEENS,,,,,,,,40.701873257470226,-73.77915247165649,"(40.701873257470226, -73.77915247165649)"
39623776,07/02/2018 12:00:00 AM,07/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Puddle in Ground,Other,11356,,,,,18 AVENUE,129 STREET,INTERSECTION,College Point,,N/A,Closed,08/01/2018 09:22:49 AM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/09/2018 12:00:00 AM,07 QUEENS,,QUEENS,1028694,224669,ONLINE,Unspecified,QUEENS,,,,,,,,40.78322897386756,-73.83951440338467,"(40.78322897386756, -73.83951440338467)"
39615802,07/02/2018 12:00:00 AM,07/02/2018 09:19:00 AM,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11219,1314 64 STREET,64 STREET,13 AVENUE,14 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,,07/05/2018 12:00:00 AM,10 BROOKLYN,3057470013,BROOKLYN,984153,167435,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6262469088078,-74.00034943926954,"(40.6262469088078, -74.00034943926954)"
39629704,07/02/2018 12:00:00 AM,07/03/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10472,1257 MORRISON AVENUE,MORRISON AVENUE,WESTCHESTER AVENUE,EAST 172 STREET,,,ADDRESS,BRONX,,N/A,Closed,08/01/2018 11:44:23 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/03/2018 12:00:00 AM,09 BRONX,2037770045,BRONX,1018838,242117,PHONE,Unspecified,BRONX,,,,,,,,40.83116293056417,-73.87501409433519,"(40.83116293056417, -73.87501409433519)"
39629322,07/02/2018 12:00:00 AM,07/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),11694,,,,,ROCKAWAY BEACH BOULEVARD,BEACH 116 STREET,INTERSECTION,Rockaway Park,,N/A,Closed,08/01/2018 11:24:01 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/05/2018 12:00:00 AM,14 QUEENS,,QUEENS,1029473,150560,PHONE,Unspecified,QUEENS,,,,,,,,40.57981312155386,-73.83719881860327,"(40.57981312155386, -73.83719881860327)"
39629226,07/02/2018 12:00:00 AM,07/03/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11434,137-15 171 STREET,171 STREET,137 AVENUE,140 AVENUE,,,ADDRESS,Jamaica,,N/A,Closed,08/01/2018 08:54:57 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/03/2018 12:00:00 AM,12 QUEENS,4125770044,QUEENS,1048233,184304,PHONE,Unspecified,QUEENS,,,,,,,,40.672317438702905,-73.76934388990169,"(40.672317438702905, -73.76934388990169)"
39626197,07/02/2018 12:00:00 AM,07/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10452,1058 UNIVERSITY AVENUE,UNIVERSITY AVENUE,WEST 165 STREET,UNNAMED STREET,,,ADDRESS,BRONX,,N/A,Closed,08/01/2018 03:37:00 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/05/2018 12:00:00 AM,04 BRONX,2025260040,BRONX,1003577,243438,PHONE,Unspecified,BRONX,,,,,,,,40.83483527467183,-73.93015683563297,"(40.83483527467183, -73.93015683563297)"
